HOSPITAL OR CLNIC NAME ,PROVIDER TYPE,EMIRATE,ADDRESS,TELEPHONE,GOLD NETWORK,SILVER PREMIUM NETWORK,SILVER CLASSIC NETWORK,GREEN NETWORK,EMERALD NETWORK,PEARL NETWORK,DENTAL COVER,SPECIAL REMARKS
***LLH HOSPITAL  AL MUSAFFAH LLC,HOSPITAL,ABU DHABI,"MUSSAFAH, ALI KAHBOUS AL ZAABI",02-5557711,Covered,Covered,Covered,Covered,Covered,Covered,,Silk Road OP Access for Non Abu Dhabi Al Futtaim card holders are covered at this facility.
BURJEEL HOSPITAL LLC,HOSPITAL,ABU DHABI,NAJDA STREET,02-5085555,Covered,Covered,,,,,,
ALMAZROUI MEDICAL CENTER ONE DAY SURGERY LLC-MF1327- ABU DHABI ,HOSPITAL,ABU DHABI,"Najda Street ,Al Mazroui Building,Abu Dhabi",02-6723232,Covered,Covered,Covered,Covered,Covered,,,
GULF INTERNATIONAL CANCER CENTER,HOSPITAL,ABU DHABI,"SHEIKH MOKTOUM ROAD, GICC BUILDING",02-5635558,Covered,Covered,Covered,Covered,,,,
BAREEN INTERNATIONAL HOSPITAL,HOSPITAL,ABU DHABI,Z15 MOHAMMED BIN ZAYED CITY,02-5504664,Covered,Covered,Covered,,,,,
HEALTH POINT HOSPITAL LLC-ABU DHABI-MF2467,HOSPITAL,ABU DHABI,"ZAYED SPORTS CITY, AIRPORT ROAD",02-4929709,Covered,,,,,,,
BURJEEL FARHA HOSPITAL L.L.C. (formerly MEDEOR 24X7 INTERNATIONAL HOSPITAL L.L.C.),HOSPITAL,ABU DHABI,"ASHAREJ COMMERICAL & RESIDENTIAL CENTER, BIDA BIN AMMAR, ASHAREJ, AL AIN CITY",03-7099000,Covered,Covered,Covered,Covered,Covered,Covered,,
MEDICLINIC HOSPITALS L.L.C.  (AL JOWHARA HOSPITAL)/MF2984,HOSPITAL,ABU DHABI,"CIVIC CENTER, AL AIN",03-7051781,Covered,Covered,Covered,Covered,Covered,,,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
BURJEEL ROYAL HOSPITAL LLC -MF4626- ALAIN,HOSPITAL,ABU DHABI,"Downtown commercial and residential center , Burjeel Hospital building , Qesaideh sector, Al ain   ",03-7991111,Covered,Covered,,,,,,
UNIVERSAL HOSPITAL LLC-AL AIN L.L.C-MF2259,HOSPITAL,ABU DHABI,"NEAR AL JIMI MALL, AL JIMI",03-7990000,Covered,Covered,Covered,Covered,,,Covered,
IMPERIAL COLLEGE LONDON DIABETES CENTRE,HOSPITAL,ABU DHABI,NEXT TO TAWAM HOSPITAL,03-7464800,Covered,,,,,,,
"HEART BEAT MEDICAL CENTER & ONE DAY SURGERY L.L.C., AL MUSHARRAF (CONSULTANT MEDICAL CENTER)",HOSPITAL,ABU DHABI," SHEIKH RASHID BIN SAEED ST MUSHARRAF AREA, ABU DHABI.",02-4449494,Covered,Covered,Covered,Covered,Covered,,,
BURJEEL DAY SURGERY CENTER PVT LTD,HOSPITAL,ABU DHABI,"GATE AND ARC TOWERS, R1-01 + RG-01, AL REEM ISLAND",02-3079999,Covered,,,,,,,
***SPECIALISED MEDICAL CARE HOSPITAL,HOSPITAL,ABU DHABI,"AL JAHLI STREET, NEAR AL AIN MUESUM",03-7552291,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
EMIRATES INTERNATIONAL HOSPITAL,HOSPITAL,ABU DHABI,"CELEBRATIONS GROUNDS, AL KHABEESI",03-7637777,Covered,Covered,Covered,Covered,Covered,,,
MEDICLINIC HOSPITALS L.L.C. (AL AIN BRANCH HOSPITAL)/ MF1589,HOSPITAL,ABU DHABI,"KHALIFA ST, BESIDES CHOITHRAM ",03-7667666,Covered,Covered,Covered,Covered,Covered,,,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
***NMC SPECIALITY HOSPITAL ,HOSPITAL,ABU DHABI,"OUD AL HASAN STREET , AL MUTAREDH AREA",03-7555999,Covered,Covered,Covered,Covered,Covered,,,Silk Road OP Access for Non Abu Dhabi Al Futtaim card holders are covered at this facility.
KANAD HOSPITAL (formerly OASIS HOSPITAL-AL AIN),HOSPITAL,ABU DHABI,"SANAYA ROAD, OPPSITE  ETISALAT BUILDING",03-7221251,Covered,Covered,,,,,,
YATEEM EYE CENTER AND DAY CARE SURGERY,HOSPITAL,ABU DHABI,"SW16, 39TH STREET, KHALIFA CITY A, AIRPORT RD, ABU DHABI",02-6666167,Covered,Covered,Covered,Covered,,,,
NMC ROYAL HOSPITAL LLC,HOSPITAL,ABU DHABI,"16TH STREET, ZONE 135, PLOT NO. P-1, SE-4, KHALIFA CITY - ABU DHABI",02-2035000,Covered,Covered,,,,,,
MEDEOR 24X7 HOSPITAL LLC,HOSPITAL,ABU DHABI,"MUROOR ROAD, OPP EMPOST, MADINAT ZAYED AREA",02-6900600,Covered,Covered,Covered,Covered,Covered,Covered,,
PLUS INTERNATIONAL MEDICAL CENTRE LLC-MF3714-AUH,HOSPITAL,ABU DHABI,"Salama Bint Butti street, Main Island, Abu Dhabi",02-6662929,Covered,Covered,,,,,,
MOORFIELDS EYE HOSPITAL CENTRE LLC-ABU DHABI-MF3982,HOSPITAL,ABU DHABI,"VILLAS B01 & B02, MARINA VILLAGE, ABU DHABI, UAE",02-6266805,Covered,,,,,,,
"BURJEEL MEDICAL CITY LLC, (VPS GROUP)",HOSPITAL,ABU DHABI,"Burjeel Medical City LLC, Street: 28th Street, Mohamed Bin Zayed City, Abu Dhabi",02-7773333,Covered,Covered,,,,,,
***LIFECARE HOSPITAL LLC-BRANCH 1-LIFELINE GROUP/MF2420,HOSPITAL,ABU DHABI,MUSAFFAH,02-5566666,Covered,Covered,Covered,Covered,Covered,Covered,,Silk Road OP Access for Non Abu Dhabi Al Futtaim card holders are covered at this facility.
PHOENIX HOSPITAL LLC (prev. AL BUSTAN SPECIALTY HOSPITAL AUH AHALIA GROUP),HOSPITAL,ABU DHABI,PLOT 1 SHABIA 10 MUSSAFAH,02-6151515,Covered,Covered,Covered,Covered,Covered,Covered,Covered,PEARL NETWORK FOR DENTAL SERVICES ONLY.
REEM HOSPITAL L.L.C. - ABU DHABI - MF4887,HOSPITAL,ABU DHABI,"REEM ISLAND, OPP SORBONNE UNIVERSITY, ABU DHABI, UAE.",02-4456001,Covered,Covered,Covered,Covered,,,,
***AL DANNAH HOSPITAL (prev. RUWAIS HOSPITAL),HOSPITAL,ABU DHABI,RUWAIS,8007267,Covered,Covered,Covered,Covered,Covered,,Covered,
AMINA HOSPITAL LLC (Excluding Dr. Naim Satme and Dr. Sohair Mohammed El Ameen Ibrahim Ali),HOSPITAL,AJMAN,"NEAR EMIRATES NBD BANK, AL QUDS STREET",06-7114444,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
THUMBAY HOSPITAL LLC - AJMAN,HOSPITAL,AJMAN,"RAS AL KHAMIAH HIGHWAY ROAD, NEXT TO KIA MOTOR SHOWROOM ",06-7463333,Covered,Covered,Covered,Covered,,,Covered,
RASHID CENTER FOR DIABETES AND RESEARCH,HOSPITAL,AJMAN,AL JURF -UNIVERSITY STREET,06-7147444,Covered,Covered,Covered,Covered,,,Covered,
SHEIKH KHALIFA GENERAL HOSPITAL AJMAN,HOSPITAL,AJMAN,AL JURF -UNIVERSITY STREET,06-7117081,Covered,Covered,Covered,Covered,,Covered,Covered,
SHEIKH KHALIFA MATERNITY AND PEDIATRIC HOSPITAL,HOSPITAL,AJMAN,AL JURF -UNIVERSITY STREET,06-7117777,Covered,Covered,Covered,Covered,,Covered,Covered,
THUMBAY UNIVERSITY HOSPITAL COMPLEX LLC,HOSPITAL,AJMAN,"UNIVERSITY STREET,AL JURF,AJMAN
",06-7705555,Covered,Covered,Covered,Covered,,,Covered,
SAUDI GERMAN HOSPITAL AJMAN- SGH GROUP,HOSPITAL,AJMAN,SHEIKH AMMAR BIN HUMAID STREET,06-7161040,Covered,Covered,Covered,Covered,Covered,,,
AJMAN SPECIALITY HOSPITAL - AJMAN,HOSPITAL,AJMAN,"NEW INDUSTRIAL AREA, HAMDIYA ROAD BEFORE EPPCO PETROL STATION",06-7484999,Covered,Covered,Covered,Covered,,,Covered,
SHEIKH KHALIFA HOSPITAL MASFOUT,HOSPITAL,AJMAN,"MASFOUT,  AJMAN",04-8099999,Covered,Covered,Covered,Covered,,Covered,Covered,
"CHARME DAY SURGERY CENTER, DUBAI",HOSPITAL,DUBAI,"Al wasl Road, Villa No 1035, Dubai, UAE.",04-3808889,Covered,Covered,,,,,,
"SAUDI GERMAN HOSPITAL, DUBAI",HOSPITAL,DUBAI,"AL BARSHA 3, OPP. AMERICAN SCHOOL OF DUBAI",04-3890000,Covered,Covered,,,,,,
ADAM VITAL HOSPITAL LLC - DUBAI,HOSPITAL,DUBAI,"10TH STREET, AL WALEED BUILDING, AL GARHOUD, DUBAI",04-2068999,Covered,Covered,,,,,,
PRIME HOSPITAL L.L.C.,HOSPITAL,DUBAI,CASABLANCA STREET,04-2929777,Covered,Covered,Covered,Covered,,,,Psychiatric Benefits Not Covered
"DR ISMAIL DAY SURGICAL CENTRE, KARAMA - DR ISMAIL MEDICALCENTRE",HOSPITAL,DUBAI,"41A, WASL HUB, A L WASL BUILDING, KARAMA, ",04-3962533,Covered,Covered,Covered,,,,Covered,
ASTER HOSPITAL BR OF ASTER DM HEALTHCARE - AL QUSAIS - DUBAI ( ATSER GROUP ) ,HOSPITAL,DUBAI,"A9 STREET , MUHAISNAH 4 STREET ,ASTER HOSPITAL BUILDING ,  AL QUSAIS INDUSTRIAL AREA 2 , AL QUSAIS ",04-3766888 ,Covered,Covered,Covered,Covered,Covered,Covered,,
MEDCARE WOMEN AND CHILDRENS HOSPITAL-BR OF MEDCARE GROUP-DUBAI,HOSPITAL,DUBAI,"AL SAFA 2, NEAR NOOR ISLAMIC BANK, SHEIKH ZAYED ROAD",04-4079166,Covered,Covered,,,,,,
VALIANT HEALTHCARE LLC - DUBAI,HOSPITAL,DUBAI,"VALIANT CLINIC BUILDING, CITY WALK, 13 STREET, AL WASL, DUBAI, UAE.",04-3872260,Covered,,,,,,,
"MEDICLINIC PARKVIEW HOSPITAL LLC, DUBAI (MEDICLINIC GROUP)",HOSPITAL,DUBAI,"MEDICLINIC PARKVIEW HOSPITAL LLC, AL BARSHA SOUTH THIRD DUBAI UAE",04-4168723,Covered,Covered,,,,,,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
MEDICLINIC CITY HOSPITAL ,HOSPITAL,DUBAI,"BUR DUBAI, DUBAI HEALTHCARE CITY",04-4359826,Covered,Covered,,,,,,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
MEDEOR 24 X 7 HOSPITAL LLC,HOSPITAL,DUBAI,"EMBASSY DISTRICT, UMM HURAIR-1, SHEIKH KHALIFA BIN ZAYED STREET, (D 88)",04-3500600,Covered,Covered,Covered,Covered,Covered,Covered,,
ASTER DAY SURGERY CENTRE LLC-DM HEALTHCARE BR OF ASTER HOSPITAL DUBAI,HOSPITAL,DUBAI,"KUWAIT ROAD, AL MANKHOOL AREA, AL RAFFA BUR DUBAI",04-4400500,Covered,Covered,Covered,Covered,Covered,Covered,,
AMERICAN HOSPITAL (Silver Premium Network - for IP Cases only),HOSPITAL,DUBAI,"OUD MEHTA, OPPOSITE MOVENPIK HOTEL",04-3776635 ,Covered,Covered,,,,,,"Silver Premium Network for IP Cases only.

Both Morgan Price and Oriental Insurance members under Silver Premium are blocked in American Hospital - Silver Premium IP and OP Access"
INTERNATIONAL MODERN HOSPITAL,HOSPITAL,DUBAI,"PORT RASHID ROAD, NEAR CAPITOL HOTEL ",04-4063000,Covered,Covered,Covered,Covered,,,,
CANADIAN SPECIALIST HOSPITAL,HOSPITAL,DUBAI,"ABUHAIL ROAD, CANADIAN SPEC. BUILDING",04-7072222,Covered,Covered,Covered,Covered,,,,
AL JALILA CHILDREN'S SPECIALTY HOSPITAL FZ  LLC,DHA HOSPITAL,DUBAI,"OUD METHA ROAD, DHCC, AREA OPPOSITE TO WAFI MALL AND THE RAFFLES HOTEL",04-2811000,Covered,Covered,,,,,,
"CLEMENCEAU MEDICAL CENTER FZ-LLC, DHCC",HOSPITAL,DUBAI,"Building  22 Dubai Healthcare City Phase 2, Al Jaddaf, Dubai, UAE",800262392,Covered,Covered,Covered,Covered,,,,
MEDICLINIC DUBAI MALL,HOSPITAL,DUBAI,"DOWNTOWN, FASHION CAR PARK , LEVEL 7 , PARKING 3",04-4495111,Covered,Covered,,,,,,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
"HEALTHHUB BR.ALFUTTAIM HEALTHCARE SINGLE PERSON COMPANY L L C , DUBAI FESTIVAL CITY",HOSPITAL,DUBAI,"DUBAI FESTIVAL CITY, NEXT TO IKEA,DUBAI",04-5967100,Covered,Covered,Covered,Covered,,,,"""SILK ROAD IS COVERED FOR AFG GROUP POLICY MEMBERS ONLY."" Dental is Covered for AFG members only."
DR.SULAIMAN AL HABIB HOSPITAL,HOSPITAL,DUBAI,DUBAI HEALTHCARE CITY,04-4297777,Covered,Covered,,,,,,"EFF: 07-FEB-2019 - Provider not eligible to accept the members for Policy Number: 253489 , Policy Group Name: DR. SULAIMAN HABIB HOSPITAL FZ"
MAGRABI EYE HOSPITAL,HOSPITAL,DUBAI,"DUBAI HEALTHCARE CITY, AL RAZI BUILDING # 64 , BLOCK E",04-4370606,Covered,Covered,Covered,,,,,
KINGS COLLEGE HOSPITAL LONDON (Br of KCH HEALTHCARE LLC) -  (Excluding Dr. Marc Sinclair for OP Cons and OP Services),HOSPITAL,DUBAI,"DUBAI HILLS, AL MARABEA STREET, AL KHAIL ROAD",04-5199999,Covered,Covered,,,,,,Dr. Marc Sinclair - OP Consultation and Services are excluded in Direct Billing
NMC ROYAL HOSPITAL LLC-DIP,HOSPITAL,DUBAI,DUBAI INVESTMENT PARK,04-8108800,Covered,Covered,Covered,Covered,Covered,Covered,,
FAKEEH UNIVERSITY HOSPITAL - DUBAI SILICON OASIS,HOSPITAL,DUBAI,FAKEEH UNIVERSITY HOSPITAL BUILDING - DUBAI SILICON OASIS - DUBAI,04-4144444,Covered,Covered,,,,,,
AL GARHOUD PRIVATE HOSPITAL,HOSPITAL,DUBAI,AL GARHOUD,04-4545000,Covered,Covered,Covered,,,,,
MEDICLINIC WELCARE HOSPITAL,HOSPITAL,DUBAI,"AL GARHOUD, BESIDE EMIRATES AVIATION COLLEGE , OPPOSITE AVIATION CLUB",04-2137625,Covered,Covered,,,,,,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
"ADVANCED CARE ONCOLOGY CENTER LLC, DUBAI",HOSPITAL,DUBAI,"AL FURJAN, JABEL ALI1",04-2854665,Covered,Covered,,,,,,
CEDARS JEBEL ALI INTERNATIONAL HOSPITAL - ASTER GROUP,HOSPITAL,DUBAI,"JEBEL ALI ROAD, NEXT TO DUGAS ",04-4400500,Covered,Covered,Covered,Covered,Covered,Covered,,
MEDICLINIC IBN BATTUTA,HOSPITAL,DUBAI,"JEBEL ALI, IBN BATTUTA MALL",04-2478333,Covered,Covered,,,,,,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
SHAMMA CLINIC LLC by Novomed LLC,HOSPITAL,DUBAI,"10C STREET VILLA 41, JUMEIRAH 1",04-3498800,Covered,Covered,,,,,,
AL MOUSA DAY SURGERY CENTER ,HOSPITAL,DUBAI,"AL WASL ROAD, JUMEIRAH",04-3452999,Covered,Covered,Covered,,,,,
DUBAI LONDON SPECIALITY HOSPITAL,HOSPITAL,DUBAI,"JUMEIRAH BEACH ROAD, CLINIC NO. 402 AL WASAL ROAD, JUMERIAH 1 ",800352,Covered,Covered,,,,,Covered,Dental Covered only for Gold & Silver Premium network
MEDCARE HOSPITAL,HOSPITAL,DUBAI,"SAFA PARK, BESIDES SAFA PARK ",8006332273,Covered,Covered,Covered,,,,,
MEDCARE ORTHOPAEDICS &SPINE HOSPITAL,HOSPITAL,DUBAI,"SHK ZAYED ROAD, AFTER 2ND INTERCHANGE",8006332273,Covered,Covered,Covered,,,,,
INTERNATIONAL SPECIALITY MEDICAL CENTER DAY CARE SURGERY LLC (prev. INTERNATIONAL EYE SURGERY CENTRE DAY CARE SURGERY),HOSPITAL,DUBAI,JUMEIRAH 1,04-3441142,Covered,,,,,,,
"ARMADA ONE DAY SURGICAL CENTER JLT, DUBAI ",HOSPITAL,DUBAI,"P2, ARMADA TOWERS, JUMEIRAH LAKE TOWERS ",04-3990022,Covered,Covered,,,,,,
VASAN EYECARE,HOSPITAL,DUBAI,"ZABEEL PLAZA BUILDING, ZABEEL ROAD, AL KARAMA",04-3579444,Covered,Covered,,,,,,
ASTER HOSPITAL BR OF ASTER DM HEALTHCARE,HOSPITAL,DUBAI,"AL RAFA STREET,  MANKHOOL",04-4400500,Covered,Covered,Covered,Covered,Covered,Covered,,
MOORFIELDS EYE HOSPITAL,HOSPITAL,DUBAI,"OUD METHA, DUBAI HEALTHCARE CITY",04-4297888,Covered,Covered,,,,,,
"NMC SPECIALITY HOSPITAL
",HOSPITAL,DUBAI,"AL NADHA ROAD , NADHA 2, BEHIND SAHARA CENTER",04-2679999,Covered,Covered,Covered,Covered,Covered,Covered,,
ZULEKHA HOSPITAL ,HOSPITAL,DUBAI,"NADHA 2, BEHIND SHARA CENTER",04-2678866,Covered,Covered,Covered,Covered,,,Covered,
IRANIAN HOSPITAL,HOSPITAL,DUBAI,"AL WASL ROAD, JUMERIAH 1",04-4046752,Covered,Covered,Covered,Covered,Covered,Covered,,MetLife access is being stopped until further notice. EBP OP Access is covered for Oriental Insurance Company only. Sukoon Insurance member are not accepted at Iranian Hospital for Direct Billing access w.e.f. 21/02/2024.
BURJEEL HOSPITAL LLC (BURJEEL HOSPITAL FOR ADVANCED SURGERY),HOSPITAL,DUBAI,SHEIKH ZAYED ROAD,04-4070100,Covered,,,,,,,
AL ZAHRA HOSPITAL DUBAI,HOSPITAL,DUBAI,"SHEIKH ZAYED ROAD, AL BARSHA 1, DUBAI",04-3786666,Covered,Covered,,,,,,ALTERNATIVE BENEFIT FOR CHIROPRACTIC SERVICES ONLY.
"GARGASH HOSPITAL LLC, DUBAI",HOSPITAL,DUBAI,Umm Suqeim.,04-7030000,Covered,Covered,,,,,Covered, Added Dental only For Gold  & Silver Premium Networks.
"NOVOMED SPECIALIZED SURGICAL HOSPITAL LLC, UMM SUREIM 3 (NOVOMED GROUP)",HOSPITAL,DUBAI,"Opp. Kings School, Villa No.88, Umm Suqaim 3, Al Wasel Road, Dubai",04-2473100,Covered,Covered,,,,,,
AL SHARQ INTERNATIONAL HOSPITAL,HOSPITAL,FUJAIRAH,FASEEL ROAD,09-2249999,Covered,Covered,Covered,Covered,Covered,,Covered,
THUMBAY HOSPITAL LLC FUJAIRAH BRANCH,HOSPITAL,FUJAIRAH,"SHEIKH ZAYED STREET, NEXT TO SALAH SHAMA WEDDING HALL",09-2244233,Covered,Covered,Covered,Covered,,,Covered,
AL ORAIBI HOSPITAL,HOSPITAL,RAS AL KHAIMAH,"AL MUNTASSAR STREET , AL ORAIBI POLYCLINIC",07-2288511,Covered,Covered,Covered,Covered,,,,
RAK HOSPITAL,HOSPITAL,RAS AL KHAIMAH,"AL QUSAIDAT, RAK HOSPITAL",07-2074444,Covered,Covered,Covered,Covered,Covered,Covered,,Dental is covered only for RAK IDO policy
SHEIKH KHALIFA SPECIALITY HOSPITAL-RAK,HOSPITAL,RAS AL KHAIMAH,"AL SHOHADAA ROAD, RAS AL KHAIMAH",07-2444444,Covered,Covered,Covered,,,Covered,,
ZAHRAWI HOSPITAL,HOSPITAL,RAS AL KHAIMAH,"OMAN STREET , OPP. CHOITHRAM",07-2288544,Covered,Covered,Covered,Covered,,,Covered,
"BURJEEL SPECIALTY HOSPITAL LLC, SHARJAH (VPS GROUP)",HOSPITAL,SHARJAH,"Al FAYHA, NEAR ALFAYHA PARK ,SHARJAH.",06-5075510,Covered,Covered,Covered,Covered,Covered,Covered,,
NMC ROYAL HOSPITAL SHARJAH,HOSPITAL,SHARJAH,"AL ZAHRA STREET , NEAR CLOCK TOWER ROADABOUT",06-5619999,Covered,Covered,,,,,,Effective 15th April 2023 - Ternminated Silver Classic and Green Networks.
SHARJAH CORNICHE HOSPITAL,HOSPITAL,SHARJAH,"CORNICHE STREET, AL BUHAIRAH",06-5751222,Covered,Covered,Covered,Covered,Covered,Covered,,
CENTRAL HOSPITAL LLC,HOSPITAL,SHARJAH,"AL ZAHRA STREET , OPPOSITE TO AL ZAHRA HOSPITAL ",06-5639900,Covered,Covered,Covered,Covered,Covered,Covered,,
ZULEKHA HOSPITAL,HOSPITAL,SHARJAH,"ZAHRA ROAD, NASARIYA DISTRICT",06-5658866,Covered,Covered,Covered,Covered,,,Covered,
"AL SAHA WA AL SHIFAA ONE DAY SURGERY HOSPITAL, SHARJAH (AL SAHA WA AL SHIFA GROUP)",HOSPITAL,SHARJAH,"3RD FLOOR, ROLLA MALL, ROLLA, SHARJAH, UAE",06-5632618,Covered,Covered,Covered,Covered,Covered,,Covered,
EMIRATES EUROPEAN HOSPITAL LLC ONE DAY SURGERY,HOSPITAL,SHARJAH,"AL QULAYA, ALROUBA STREET, ROLLA",06-5619444,Covered,Covered,Covered,Covered,Covered,,Covered,
"SAUDI GERMAN HOSPITAL SHJ BR, SHARJAH (Br. of SGH)",HOSPITAL,SHARJAH,Al Qulayaa Area; Intersection of Al Sharq Road with Sheikh Mohd Bin Saqr Al Qasimi (Opposite Al Quds Mosque),8002211,Covered,Covered,Covered,Covered,Covered,,,
ORIANA HOSPITAL,HOSPITAL,SHARJAH,AL TAAWUN STREET,06-5251000,Covered,Covered,Covered,Covered,Covered,,Covered,
